2020-03-01 0 0 0 0 0 0 0 0
2020-03-02 0 0 0 0 0 0 0 0
2020-03-03 0 0 0 0 0 0 0 0
2020-03-04 0 0 0 0 0 0 0 0
2020-03-05 0 0 0 0 0 0 0 0
2020-03-06 0 0 0 0 0 0 0 0
2020-03-07 0 0 0 0 0 0 0 0
2020-03-08 0 0 0 0 0 0 0 0
2020-03-09 0 0 0 0 0 0 0 0
2020-03-10 0 0 0 0 0 0 0 0
2020-03-11 0 0 0 0 0 0 0 0
2020-03-12 0 0 0 0 0 0 0 0
2020-03-13 0 0 0 0 0 0 0 0
2020-03-14 0 0 0 0 0 0 0 0
2020-03-15 0 0 0 0 0 0 0 0
2020-03-16 0 0 0 0 0 0 0 0
2020-03-17 0 0 0 0 0 0 0 0
2020-03-18 0 0 0 0 0 0 0 0
2020-03-19 0 0 0 0 0 0 0 0
2020-03-20 0 0 0 0 0 0 0 0
2020-03-21 0 0 0 0 0 0 0 0
2020-03-22 0 0 0 0 0 0 0 0
2020-03-23 0 0 0 0 0 0 0 0
2020-03-24 0 0 0 0 0 0 0 0
2020-03-25 0 0 0 0 0 0 0 0
2020-03-26 1 0 0 1 0 0 0 0
2020-03-27 3 0 0 3 0 0 0 0
2020-03-28 3 0 0 3 0 0 0 0
2020-03-29 3 0 0 3 0 0 0 0
2020-03-30 3 0 0 3 0 0 0 0
2020-03-31 4 0 0 4 0 0 0 0
2020-04-01 6 0 0 5 0 0 0 0
2020-04-02 8 1 0 8 1 0 0 0
2020-04-03 7 1 0 9 1 0 0 0
2020-04-04 8 1 0 10 1 0 0 0
2020-04-05 8 1 0 10 1 0 1 1
2020-04-06 8 1 0 10 1 0 1 1
2020-04-07 10 1 0 13 1 0 1 1
2020-04-08 8 1 0 13 1 0 2 2
2020-04-09 6 0 0 13 1 0 1 2
2020-04-10 5 0 0 13 1 0 0 2
2020-04-11 4 0 0 13 1 0 0 2
2020-04-12 4 0 0 13 1 0 0 1
2020-04-13 4 0 0 13 1 0 0 1
2020-04-14 1 0 0 12 1 0 0 1
2020-04-15 1 0 0 11 1 0 0 0
2020-04-16 0 0 0 8 0 0 0 0
2020-04-17 0 0 0 6 0 0 0 0
2020-04-18 0 0 0 6 0 0 0 0
2020-04-19 0 0 0 6 0 0 0 0
2020-04-20 0 0 0 5 0 0 0 0
2020-04-21 0 0 0 3 0 0 0 0
2020-04-22 0 0 0 2 0 0 0 0
2020-04-23 0 0 0 0 0 0 0 0
2020-04-24 0 0 0 0 0 0 0 0
2020-04-25 0 0 0 0 0 0 0 0
2020-04-26 0 0 0 0 0 0 0 0
2020-04-27 0 0 0 0 0 0 0 0
2020-04-28 0 0 0 0 0 0 0 0
2020-04-29 0 0 0 0 0 0 0 0
2020-04-30 1 0 0 1 0 0 0 0
2020-05-01 1 0 0 1 0 0 0 0
2020-05-02 1 0 0 1 0 0 0 0
2020-05-03 1 0 0 1 0 0 0 0
2020-05-04 1 0 0 1 0 0 0 0
2020-05-05 1 0 0 1 0 0 0 0
2020-05-06 1 0 0 1 0 0 0 0
2020-05-07 0 0 0 0 0 0 0 0
2020-05-08 0 0 0 0 0 0 0 0
2020-05-09 0 0 0 0 0 0 0 0
2020-05-10 0 0 0 0 0 0 0 0
2020-05-11 0 0 0 0 0 0 0 0
2020-05-12 0 0 0 0 0 0 0 0
2020-05-13 0 0 0 0 0 0 0 0
2020-05-14 0 0 0 0 0 0 0 0
2020-05-15 0 0 0 0 0 0 0 0
2020-05-16 0 0 0 0 0 0 0 0
2020-05-17 0 0 0 0 0 0 0 0
2020-05-18 0 0 0 0 0 0 0 0
2020-05-19 0 0 0 0 0 0 0 0
2020-05-20 0 0 0 0 0 0 0 0
2020-05-21 0 0 0 0 0 0 0 0
2020-05-22 0 0 0 0 0 0 0 0
2020-05-23 0 0 0 0 0 0 0 0
2020-05-24 0 0 0 0 0 0 0 0
2020-05-25 0 0 0 0 0 0 0 0
2020-05-26 0 0 0 0 0 0 0 0
